Occupation 2010 Description,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
First-line supervisors of non-retail sales workers,4700-5940,4700-4965,4710,4710,4710,4710
Cashiers,4700-5940,4700-4965,4720,4720,4720,4720
Retail sales workers except cashiers,4700-5940,4700-4965,4740-4760,,,
Counter and rental clerks,4700-5940,4700-4965,4740-4760,4740,4740,4740
Parts salespersons,4700-5940,4700-4965,4740-4760,4750,4750,4750
Retail salespersons,4700-5940,4700-4965,4740-4760,4760,4760,4760
"Sales representatives, services",4700-5940,4700-4965,4800-4840,,,
Advertising sales agents,4700-5940,4700-4965,4800-4840,4800,4800,4800
Insurance sales agents,4700-5940,4700-4965,4800-4840,4810,4810,4810
"Securities, commodities, and financial services sales agents",4700-5940,4700-4965,4800-4840,4820,4820,4820
Travel agents,4700-5940,4700-4965,4800-4840,4830,4830,4830
"Sales representatives, services, all other",4700-5940,4700-4965,4800-4840,4840,4840,4840
"Sales representatives, wholesale and manufacturing",4700-5940,4700-4965,4850,4850,4850,4850
Other sales and related workers,4700-5940,4700-4965,4900-4965,,,
"Models, demonstrators, and product promoters",4700-5940,4700-4965,4900-4965,4900,4900,4900
Real estate brokers and sales agents,4700-5940,4700-4965,4900-4965,4920,4920,4920
Sales engineers,4700-5940,4700-4965,4900-4965,4930,4930,4930
Telemarketers,4700-5940,4700-4965,4900-4965,4940,4940,4940
"Door-to-door sales workers, news and street vendors, and related workers",4700-5940,4700-4965,4900-4965,4950,4950,4950
"Sales and related workers, all other",4700-5940,4700-4965,4900-4965,4965,4965,4965
Office and Administrative Support Occupations:,4700-5940,5000-5940,,,,
First-line supervisors of office and administrative support workers,4700-5940,5000-5940,5000,5000,5000,5000
Communications equipment operators,4700-5940,5000-5940,5010-5030,,,
"Switchboard operators, including answering service",4700-5940,5000-5940,5010-5030,5010,5010,5010
Telephone operators,4700-5940,5000-5940,5010-5030,5020,5020,5020
"Communications equipment operators, all other",4700-5940,5000-5940,5010-5030,5030,5030,5030
"Financial clerks except bookkeeping, accounting, and auditing clerks",4700-5940,5000-5940,"5100-5110,5130-5165",,,
Bill and account collectors,4700-5940,5000-5940,"5100-5110,5130-5165",5100,5100,5100
Billing and posting clerks,4700-5940,5000-5940,"5100-5110,5130-5165",5110,5110,5110
"Bookkeeping, accounting, and auditing clerks",4700-5940,5000-5940,5120,5120,5120,5120
Gaming cage workers,4700-5940,5000-5940,"5100-5110,5130-5165",5130,5130,5130
Payroll and timekeeping clerks,4700-5940,5000-5940,"5100-5110,5130-5165",5140,5140,5140
Procurement clerks,4700-5940,5000-5940,"5100-5110,5130-5165",5150,5150,5150
Tellers,4700-5940,5000-5940,"5100-5110,5130-5165",5160,5160,5160
"Financial clerks, all other",4700-5940,5000-5940,"5100-5110,5130-5165",5165,5165,5165
Information and record clerks except customer service representatives,4700-5940,5000-5940,"5200-5230,5250-5420",,,
Brokerage clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5200,5200,5200
Correspondence clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5210,5210,5210
"Court, municipal, and license clerks",4700-5940,5000-5940,"5200-5230,5250-5420",5220,5220,5220
"Credit authorizers, checkers, and clerks",4700-5940,5000-5940,"5200-5230,5250-5420",5230,5230,5230
Customer service representatives,4700-5940,5000-5940,5240,5240,5240,5240
"Eligibility interviewers, government programs",4700-5940,5000-5940,"5200-5230,5250-5420",5250,5250,5250
File clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5260,5260,5260
"Hotel, motel, and resort desk clerks",4700-5940,5000-5940,"5200-5230,5250-5420",5300,5300,5300
"Interviewers, except eligibility and loan",4700-5940,5000-5940,"5200-5230,5250-5420",5310,5310,5310
"Library assistants, clerical",4700-5940,5000-5940,"5200-5230,5250-5420",5320,5320,5320
Loan interviewers and clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5330,5330,5330
New accounts clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5340,5340,5340
Order clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5350,5350,5350
"Human resources assistants, except payroll and timekeeping",4700-5940,5000-5940,"5200-5230,5250-5420",5360,5360,5360
Receptionists and information clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5400,5400,5400
Reservation and transportation ticket agents and travel clerks,4700-5940,5000-5940,"5200-5230,5250-5420",5410,5410,5410
"Information and record clerks, all other",4700-5940,5000-5940,"5200-5230,5250-5420",5420,5420,5420
"Material recording, scheduling, dispatching, and distributing workers",4700-5940,5000-5940,5500-5630,,,
Cargo and freight agents,4700-5940,5000-5940,5500-5630,5500,5500,5500
Couriers and messengers,4700-5940,5000-5940,5500-5630,5510,5510,5510
Dispatchers,4700-5940,5000-5940,5500-5630,5520,5520,5520
"Meter readers, utilities",4700-5940,5000-5940,5500-5630,5530,5530,5530
Postal service clerks,4700-5940,5000-5940,5500-5630,5540,5540,5540
Postal service mail carriers,4700-5940,5000-5940,5500-5630,5550,5550,5550
"Postal service mail sorters, processors, and processing machine operators",4700-5940,5000-5940,5500-5630,5560,5560,5560
"Production, planning, and expediting clerks",4700-5940,5000-5940,5500-5630,5600,5600,5600
"Shipping, receiving, and traffic clerks",4700-5940,5000-5940,5500-5630,5610,5610,5610
Stock clerks and order fillers,4700-5940,5000-5940,5500-5630,5620,5620,5620
"Weighers, measurers, checkers, and samplers, recordkeeping",4700-5940,5000-5940,5500-5630,5630,5630,5630
Secretaries and administrative assistants,4700-5940,5000-5940,5700,5700,5700,5700
Other office and administrative support workers,4700-5940,5000-5940,5800-5940,,,
Computer operators,4700-5940,5000-5940,5800-5940,5800,5800,5800
Data entry keyers,4700-5940,5000-5940,5800-5940,5810,5810,5810
Word processors and typists,4700-5940,5000-5940,5800-5940,5820,5820,5820
Desktop publishers,4700-5940,5000-5940,5800-5940,5830,5830,5830
Insurance claims and policy processing clerks,4700-5940,5000-5940,5800-5940,5840,5840,5840
"Mail clerks and mail machine operators, except postal service",4700-5940,5000-5940,5800-5940,5850,5850,5850
"Office clerks, general",4700-5940,5000-5940,5800-5940,5860,5860,5860
"Office machine operators, except computer",4700-5940,5000-5940,5800-5940,5900,5900,5900
Proofreaders and copy markers,4700-5940,5000-5940,5800-5940,5910,5910,5910
Statistical assistants,4700-5940,5000-5940,5800-5940,5920,5920,5920
"Office and administrative support workers, all other",4700-5940,5000-5940,5800-5940,5940,5940,5940
"Natural Resources, Construction, and Maintenance Occupations:",6005-7630,,,,,
"Farming, Fishing, and Forestry Occupations:",6005-7630,6005-6130,,,,
"First-line supervisors of farming, fishing, and forestry workers",6005-7630,6005-6130,6005,6005,6005,6005
Agricultural workers,6005-7630,6005-6130,6010-6050,,,
Agricultural inspectors,6005-7630,6005-6130,6010-6050,6010,6010,6010
Animal breeders,6005-7630,6005-6130,6010-6050,6020,6020,6020
"Graders and sorters, agricultural products",6005-7630,6005-6130,6010-6050,6040,6040,6040
Miscellaneous agricultural workers,6005-7630,6005-6130,6010-6050,6050,6050,6050
"Fishing and hunting, and forest, conservation, and logging workers",6005-7630,6005-6130,6100-6130,,,
Fishers and related fishing workers,6005-7630,6005-6130,6100-6130,6100,6100,6100
Hunters and trappers,6005-7630,6005-6130,6100-6130,6110,6110,6110
Forest and conservation workers,6005-7630,6005-6130,6100-6130,6120,6120,6120
Logging workers,6005-7630,6005-6130,6100-6130,6130,6130,6130
Construction and Extraction Occupations:,6005-7630,6200-6940,,,,
First-line supervisors of construction trades and extraction workers,6005-7630,6200-6940,6200,6200,6200,6200
First-line supervisors of construction and extraction workers,6005-7630,6200-6940,6200,6200,6200,6200
"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",,,
Boilermakers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6210,6210,6210
"Brickmasons, blockmasons, and stonemasons",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6220,6220,6220
Carpenters,6005-7630,6200-6940,6230,6230,6230,6230
"Carpet, floor, and tile installers and finishers",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6240,6240,6240
"Cement masons, concrete finishers, and terrazzo workers",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6250,6250,6250
Construction laborers,6005-7630,6200-6940,6260,6260,6260,6260
"Paving, surfacing, and tamping equipment operators",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6300,6300,6300
Pile-driver operators,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6310,6310,6310
Operating engineers and other construction equipment operators,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6320,6320,6320
"Drywall installers, ceiling tile installers, and tapers",6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6330,6330,6330
Electricians,6005-7630,6200-6940,6355,6355,6355,6355
Glaziers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6360,6360,6360
Insulation workers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6400,6400,6400
Painters and paperhangers,6005-7630,6200-6940,6420-6430,,,
"Painters, construction and maintenance",6005-7630,6200-6940,6420-6430,6420,6420,6420
Paperhangers,6005-7630,6200-6940,6420-6430,6430,6430,6430
"Pipelayers, plumbers, pipefitters, and steamfitters",6005-7630,6200-6940,6440,6440,6440,6440
Plasterers and stucco masons,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6460,6460,6460
Reinforcing iron and rebar workers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6500,6500,6500
Roofers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6515,6515,6515
Sheet metal workers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6520,6520,6520
Structural iron and steel workers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6530,6530,6530
Solar photovoltaic installers,6005-7630,6200-6940,"6210-6220,6240-6250,6300-6330,6360-6400,6460-6540",6540,6540,6540
Other construction workers and helpers,6005-7630,6200-6940,6600-6765,,,
"Helpers, construction trades",6005-7630,6200-6940,6600-6765,6600,6600,6600
Construction and building inspectors,6005-7630,6200-6940,6600-6765,6660,6660,6660
Elevator installers and repairers,6005-7630,6200-6940,6600-6765,6700,6700,6700
Fence erectors,6005-7630,6200-6940,6600-6765,6710,6710,6710
Hazardous materials removal workers,6005-7630,6200-6940,6600-6765,6720,6720,6720
Highway maintenance workers,6005-7630,6200-6940,6600-6765,6730,6730,6730
Rail-track laying and maintenance equipment operators,6005-7630,6200-6940,6600-6765,6740,6740,6740
Septic tank servicers and sewer pipe cleaners,6005-7630,6200-6940,6600-6765,6750,6750,6750
Miscellaneous construction and related workers,6005-7630,6200-6940,6600-6765,6765,6765,6765
Extraction workers,6005-7630,6200-6940,6800-6940,,,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",6005-7630,6200-6940,6800-6940,6800,6800,6800
"Earth drillers, except oil and gas",6005-7630,6200-6940,6800-6940,6820,6820,6820
"Explosives workers, ordnance handling experts, and blasters",6005-7630,6200-6940,6800-6940,6830,6830,6830
Mining machine operators,6005-7630,6200-6940,6800-6940,6840,6840,6840
"Roof bolters, mining",6005-7630,6200-6940,6800-6940,6910,6910,6910
"Roustabouts, oil and gas",6005-7630,6200-6940,6800-6940,6920,6920,6920
Helpers--extraction workers,6005-7630,6200-6940,6800-6940,6930,6930,6930
Other extraction workers,6005-7630,6200-6940,6800-6940,6940,6940,6940
"Installation, Maintenance, and Repair Occupations:",6005-7630,7000-7630,,,,
"First-line supervisors of mechanics, installers, and repairers",6005-7630,7000-7630,7000,7000,7000,7000
"Other installation, maintenance, and repair occupations including electrical and electronic equipment mechanics, installers, and repairers",6005-7630,7000-7630,"7010-7130,7300-7630",,,
"Computer, automated teller, and office machine repairers",6005-7630,7000-7630,"7010-7130,7300-7630",7010,7010,7010
Radio and telecommunications equipment installers and repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7020,7020,7020
Avionics technicians,6005-7630,7000-7630,"7010-7130,7300-7630",7030,7030,7030
"Electric motor, power tool, and related repairers",6005-7630,7000-7630,"7010-7130,7300-7630",7040,7040,7040
"Electrical and electronics installers and repairers, transportation equipment",6005-7630,7000-7630,"7010-7130,7300-7630",7050,7050,7050
"Electrical and electronics repairers, industrial and utility",6005-7630,7000-7630,"7010-7130,7300-7630",7100,7100,7100
"Electronic equipment installers and repairers, motor vehicles",6005-7630,7000-7630,"7010-7130,7300-7630",7110,7110,7110
Electronic home entertainment equipment installers and repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7120,7120,7120
Security and fire alarm systems installers,6005-7630,7000-7630,"7010-7130,7300-7630",7130,7130,7130
"Vehicle and mobile equipment mechanics, installers, and repairers",6005-7630,7000-7630,7140-7260,,,
Aircraft mechanics and service technicians,6005-7630,7000-7630,7140-7260,7140,7140,7140
Automotive body and related repairers,6005-7630,7000-7630,7140-7260,7150,7150,7150
Automotive glass installers and repairers,6005-7630,7000-7630,7140-7260,7160,7160,7160
Automotive service technicians and mechanics,6005-7630,7000-7630,7140-7260,7200,7200,7200
Bus and truck mechanics and diesel engine specialists,6005-7630,7000-7630,7140-7260,7210,7210,7210
Heavy vehicle and mobile equipment service technicians and mechanics,6005-7630,7000-7630,7140-7260,7220,7220,7220
Small engine mechanics,6005-7630,7000-7630,7140-7260,7240,7240,7240
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",6005-7630,7000-7630,7140-7260,7260,7260,7260
Control and valve installers and repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7300,7300,7300
"Heating, air conditioning, and refrigeration mechanics and installers",6005-7630,7000-7630,"7010-7130,7300-7630",7315,7315,7315
Home appliance repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7320,7320,7320
Industrial and refractory machinery mechanics,6005-7630,7000-7630,"7010-7130,7300-7630",7330,7330,7330
"Maintenance and repair workers, general",6005-7630,7000-7630,"7010-7130,7300-7630",7340,7340,7340
"Maintenance workers, machinery",6005-7630,7000-7630,"7010-7130,7300-7630",7350,7350,7350
Millwrights,6005-7630,7000-7630,"7010-7130,7300-7630",7360,7360,7360
Electrical power-line installers and repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7410,7410,7410
Telecommunications line installers and repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7420,7420,7420
Precision instrument and equipment repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7430,7430,7430
Wind turbine service technicians,6005-7630,7000-7630,"7010-7130,7300-7630",7440,7440,7440
"Coin, vending, and amusement machine servicers and repairers",6005-7630,7000-7630,"7010-7130,7300-7630",7510,7510,7510
Commercial divers,6005-7630,7000-7630,"7010-7130,7300-7630",7520,7520,7520
Locksmiths and safe repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7540,7540,7540
Manufactured building and mobile home installers,6005-7630,7000-7630,"7010-7130,7300-7630",7550,7550,7550
Riggers,6005-7630,7000-7630,"7010-7130,7300-7630",7560,7560,7560
Signal and track switch repairers,6005-7630,7000-7630,"7010-7130,7300-7630",7600,7600,7600
"Helpers--installation, maintenance, and repair workers",6005-7630,7000-7630,"7010-7130,7300-7630",7610,7610,7610
"Other installation, maintenance, and repair workers",6005-7630,7000-7630,"7010-7130,7300-7630",7630,7630,7630
"Production, Transportation, and Material Moving Occupations:",7700-9750,,,,,
Production Occupations:,7700-9750,7700-8965,,,,
First-line supervisors of production and operating workers,7700-9750,7700-8965,7700,7700,7700,7700
Assemblers and fabricators,7700-9750,7700-8965,7710-7750,,,
"Aircraft structure, surfaces, rigging, and systems assemblers",7700-9750,7700-8965,7710-7750,7710,7710,7710
"Electrical, electronics, and electromechanical assemblers",7700-9750,7700-8965,7710-7750,7720,7720,7720
Engine and other machine assemblers,7700-9750,7700-8965,7710-7750,7730,7730,7730
Structural metal fabricators and fitters,7700-9750,7700-8965,7710-7750,7740,7740,7740
Miscellaneous assemblers and fabricators,7700-9750,7700-8965,7710-7750,7750,7750,7750
Food processing workers,7700-9750,7700-8965,7800-7855,,,
Bakers,7700-9750,7700-8965,7800-7855,7800,7800,7800
"Butchers and other meat, poultry, and fish processing workers",7700-9750,7700-8965,7800-7855,7810,7810,7810
"Food and tobacco roasting, baking, and drying machine operators and tenders",7700-9750,7700-8965,7800-7855,7830,7830,7830
Food batchmakers,7700-9750,7700-8965,7800-7855,7840,7840,7840
Food cooking machine operators and tenders,7700-9750,7700-8965,7800-7855,7850,7850,7850
"Food processing workers, all other",7700-9750,7700-8965,7800-7855,7855,7855,7855
Metal workers and plastic workers,7700-9750,7700-8965,7900-8220,,,
Computer control programmers and operators,7700-9750,7700-8965,7900-8220,7900,7900,7900
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,7920,7920,7920
"Forging machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,7930,7930,7930
"Rolling machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,7940,7940,7940
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,7950,7950,7950
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,7960,7960,7960
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8000,8000,8000
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8010,8010,8010
"Milling and planing machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8020,8020,8020
Machinists,7700-9750,7700-8965,7900-8220,8030,8030,8030
"Metal furnace operators, tenders, pourers, and casters",7700-9750,7700-8965,7900-8220,8040,8040,8040
"Model makers and patternmakers, metal and plastic",7700-9750,7700-8965,7900-8220,8060,8060,8060
"Molders and molding machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8100,8100,8100
"Multiple machine tool setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8120,8120,8120
Tool and die makers,7700-9750,7700-8965,7900-8220,8130,8130,8130
"Welding, soldering, and brazing workers",7700-9750,7700-8965,7900-8220,8140,8140,8140
"Heat treating equipment setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8150,8150,8150
"Layout workers, metal and plastic",7700-9750,7700-8965,7900-8220,8160,8160,8160
"Plating and coating machine setters, operators, and tenders, metal and plastic",7700-9750,7700-8965,7900-8220,8200,8200,8200
"Tool grinders, filers, and sharpeners",7700-9750,7700-8965,7900-8220,8210,8210,8210
"Metal workers and plastic workers, all other",7700-9750,7700-8965,7900-8220,8220,8220,8220
Printing workers,7700-9750,7700-8965,8250-8256,,,
Prepress technicians and workers,7700-9750,7700-8965,8250-8256,8250,8250,8250
Printing press operators,7700-9750,7700-8965,8250-8256,8255,8255,8255
Print binding and finishing workers,7700-9750,7700-8965,8250-8256,8256,8256,8256
"Textile, apparel, and furnishings workers",7700-9750,7700-8965,8300-8460,,,
Laundry and dry-cleaning workers,7700-9750,7700-8965,8300-8460,8300,8300,8300
"Pressers, textile, garment, and related materials",7700-9750,7700-8965,8300-8460,8310,8310,8310
Sewing machine operators,7700-9750,7700-8965,8300-8460,8320,8320,8320
Shoe and leather workers and repairers,7700-9750,7700-8965,8300-8460,8330,8330,8330
Shoe machine operators and tenders,7700-9750,7700-8965,8300-8460,8340,8340,8340
"Tailors, dressmakers, and sewers",7700-9750,7700-8965,8300-8460,8350,8350,8350
Textile bleaching and dyeing machine operators and tenders,7700-9750,7700-8965,8300-8460,8360,8360,8360
"Textile cutting machine setters, operators, and tenders",7700-9750,7700-8965,8300-8460,8400,8400,8400
"Textile knitting and weaving machine setters, operators, and tenders",7700-9750,7700-8965,8300-8460,8410,8410,8410
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",7700-9750,7700-8965,8300-8460,8420,8420,8420
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",7700-9750,7700-8965,8300-8460,8430,8430,8430
Fabric and apparel patternmakers,7700-9750,7700-8965,8300-8460,8440,8440,8440
Upholsterers,7700-9750,7700-8965,8300-8460,8450,8450,8450
"Textile, apparel, and furnishings workers, all other",7700-9750,7700-8965,8300-8460,8460,8460,8460
Woodworkers,7700-9750,7700-8965,8500-8550,,,
Cabinetmakers and bench carpenters,7700-9750,7700-8965,8500-8550,8500,8500,8500
Furniture finishers,7700-9750,7700-8965,8500-8550,8510,8510,8510
"Model makers and patternmakers, wood",7700-9750,7700-8965,8500-8550,8520,8520,8520
"Sawing machine setters, operators, and tenders, wood",7700-9750,7700-8965,8500-8550,8530,8530,8530
"Woodworking machine setters, operators, and tenders, except sawing",7700-9750,7700-8965,8500-8550,8540,8540,8540
"Woodworkers, all other",7700-9750,7700-8965,8500-8550,8550,8550,8550
Plant and system operators,7700-9750,7700-8965,8600-8630,,,
"Power plant operators, distributors, and dispatchers",7700-9750,7700-8965,8600-8630,8600,8600,8600
Stationary engineers and boiler operators,7700-9750,7700-8965,8600-8630,8610,8610,8610
Water and wastewater treatment plant and system operators,7700-9750,7700-8965,8600-8630,8620,8620,8620
Miscellaneous plant and system operators,7700-9750,7700-8965,8600-8630,8630,8630,8630
Other production occupations,7700-9750,7700-8965,8640-8965,,,
"Chemical processing machine setters, operators, and tenders",7700-9750,7700-8965,8640-8965,8640,8640,8640
"Crushing, grinding, polishing, mixing, and blending workers",7700-9750,7700-8965,8640-8965,8650,8650,8650
Cutting workers,7700-9750,7700-8965,8640-8965,8710,8710,8710
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",7700-9750,7700-8965,8640-8965,8720,8720,8720
"Furnace, kiln, oven, drier, and kettle operators and tenders",7700-9750,7700-8965,8640-8965,8730,8730,8730
"Inspectors, testers, sorters, samplers, and weighers",7700-9750,7700-8965,8640-8965,8740,8740,8740
Jewelers and precious stone and metal workers,7700-9750,7700-8965,8640-8965,8750,8750,8750
"Medical, dental, and ophthalmic laboratory technicians",7700-9750,7700-8965,8640-8965,8760,8760,8760
Packaging and filling machine operators and tenders,7700-9750,7700-8965,8640-8965,8800,8800,8800
Painting workers,7700-9750,7700-8965,8640-8965,8810,8810,8810
Photographic process workers and processing machine operators,7700-9750,7700-8965,8640-8965,8830,8830,8830
Semiconductor processors,7700-9750,7700-8965,8640-8965,8840,8840,8840
Adhesive bonding machine operators and tenders,7700-9750,7700-8965,8640-8965,8850,8850,8850
"Cleaning, washing, and metal pickling equipment operators and tenders",7700-9750,7700-8965,8640-8965,8860,8860,8860
Cooling and freezing equipment operators and tenders,7700-9750,7700-8965,8640-8965,8900,8900,8900
Etchers and engravers,7700-9750,7700-8965,8640-8965,8910,8910,8910
"Molders, shapers, and casters, except metal and plastic",7700-9750,7700-8965,8640-8965,8920,8920,8920
"Paper goods machine setters, operators, and tenders",7700-9750,7700-8965,8640-8965,8930,8930,8930
Tire builders,7700-9750,7700-8965,8640-8965,8940,8940,8940
Helpers--production workers,7700-9750,7700-8965,8640-8965,8950,8950,8950
"Production workers, all other",7700-9750,7700-8965,8640-8965,8965,8965,8965
Transportation and Material Moving Occupations:,7700-9750,9000-9750,,,,
Transportation Occupations:,7700-9750,9000-9750,9000-9420,,,
Supervisors of transportation and material moving workers,7700-9750,9000-9750,9000-9420,9000,9000,9000
Air transportation workers,7700-9750,9000-9750,9000-9420,9030-9050,,
Aircraft pilots and flight engineers,7700-9750,9000-9750,9000-9420,9030-9050,9030,9030
Air traffic controllers and airfield operations specialists,7700-9750,9000-9750,9000-9420,9030-9050,9040,9040
Flight attendants,7700-9750,9000-9750,9000-9420,,9050,9050
Motor vehicle operators except bus and truck drivers,7700-9750,9000-9750,9000-9420,"9110,9140-9150",,
"Ambulance drivers and attendants, except emergency medical technicians",7700-9750,9000-9750,9000-9420,"9110,9140-9150",9110,9110
Bus drivers,7700-9750,9000-9750,9000-9420,9120,9120,9120
Driver/sales workers and truck drivers,7700-9750,9000-9750,9000-9420,9130,9130,9130
Taxi drivers and chauffeurs,7700-9750,9000-9750,9000-9420,"9110,9140-9150",9140,9140
"Motor vehicle operators, all other",7700-9750,9000-9750,9000-9420,"9110,9140-9150",9150,9150
Rail and water transportation workers,7700-9750,9000-9750,9000-9420,9200-9330,,
Locomotive engineers and operators,7700-9750,9000-9750,9000-9420,9200-9330,9200,9200
"Railroad brake, signal, and switch operators",7700-9750,9000-9750,9000-9420,9200-9330,9230,9230
Railroad conductors and yardmasters,7700-9750,9000-9750,9000-9420,9200-9330,9240,9240
"Subway, streetcar, and other rail transportation workers",7700-9750,9000-9750,9000-9420,9200-9330,9260,9260
Sailors and marine oilers,7700-9750,9000-9750,9000-9420,9200-9330,9300,9300
Ship and boat captains and operators,7700-9750,9000-9750,9000-9420,9200-9330,9310,9310
Ship engineers,7700-9750,9000-9750,9000-9420,9200-9330,9330,9330
Other transportation workers,7700-9750,9000-9750,9000-9420,9340-9420,,
Bridge and lock tenders,7700-9750,9000-9750,9000-9420,9340-9420,9340,9340
Parking lot attendants,7700-9750,9000-9750,9000-9420,9340-9420,9350,9350
Automotive and watercraft service attendants,7700-9750,9000-9750,9000-9420,9340-9420,9360,9360
Transportation inspectors,7700-9750,9000-9750,9000-9420,9340-9420,9410,9410
"Transportation attendants, except flight attendants",7700-9750,9000-9750,9000-9420,9340-9420,9415,9415
Material Moving Occupations:,7700-9750,9000-9750,9500-9750,,,
"Material moving workers except supervisors and laborers and material movers, hand",7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",,
Conveyor operators and tenders,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9500,9500
Crane and tower operators,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9510,9510
"Dredge, excavating, and loading machine operators",7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9520,9520
Hoist and winch operators,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9560,9560
Industrial truck and tractor operators,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9600,9600
"Laborers and material movers, hand",7700-9750,9000-9750,9500-9750,9610-9640,,
Cleaners of vehicles and equipment,7700-9750,9000-9750,9500-9750,9610-9640,9610,9610
"Laborers and freight, stock, and material movers, hand",7700-9750,9000-9750,9500-9750,9610-9640,9620,9620
Machine feeders and offbearers,7700-9750,9000-9750,9500-9750,9610-9640,9630,9630
"Packers and packagers, hand",7700-9750,9000-9750,9500-9750,9610-9640,9640,9640
Pumping station operators,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9650,9650
Refuse and recyclable material collectors,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9720,9720
Mine shuttle car operators,7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9730,9730
"Tank car, truck, and ship loaders",7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9740,9740
"Material moving workers, all other",7700-9750,9000-9750,9500-9750,"9500-9600,9650-9750",9750,9750
Military Specific Occupations:,9800-9830,,,,,
Military officer special and tactical operations leaders,9800-9830,9800,9800,9800,9800,9800
First-line enlisted military supervisors,9800-9830,9810,9810,9810,9810,9810
Military enlisted tactical operations and air/weapons specialists and crew members,9800-9830,9820,9820,9820,9820,9820
"Military, rank not specified",9800-9830,9830,9830,9830,9830,9830
"Unemployed, with no work experience in the last 5 years or earlier or never worked",9800-9830,9920,9920,9920,9920,9920
